"activity","subject_id","variable","average"
"LAYING",20,"tBodyAcc_mean_X",0.268210689679487
"LAYING",20,"tBodyAcc_mean_Y",-0.0154394352991026
"LAYING",20,"tBodyAcc_mean_Z",-0.103432062417949
"LAYING",20,"tBodyAcc_std_X",-0.546535422961538
"LAYING",20,"tBodyAcc_std_Y",-0.259011300096154
"LAYING",20,"tBodyAcc_std_Z",-0.639730168647436
"LAYING",20,"tGravityAcc_mean_X",0.590974958467949
"LAYING",20,"tGravityAcc_mean_Y",0.00243648291666667
"LAYING",20,"tGravityAcc_mean_Z",0.107789718651859
"LAYING",20,"tGravityAcc_std_X",-0.95804564051282
"LAYING",20,"tGravityAcc_std_Y",-0.951149621217949
"LAYING",20,"tGravityAcc_std_Z",-0.943657000576923
"LAYING",20,"tBodyAccJerk_mean_X",0.0750346921474359
"LAYING",20,"tBodyAccJerk_mean_Y",-0.00274400097455128
"LAYING",20,"tBodyAccJerk_mean_Z",-0.00251495485183974
"LAYING",20,"tBodyAccJerk_std_X",-0.586215941176923
"LAYING",20,"tBodyAccJerk_std_Y",-0.426120353397436
"LAYING",20,"tBodyAccJerk_std_Z",-0.738913456730769
"LAYING",20,"tBodyGyro_mean_X",-0.0224726834409615
"LAYING",20,"tBodyGyro_mean_Y",-0.0789627194310256
"LAYING",20,"tBodyGyro_mean_Z",0.0900253976657692
"LAYING",20,"tBodyGyro_std_X",-0.652396391814103
"LAYING",20,"tBodyGyro_std_Y",-0.485894484605705
"LAYING",20,"tBodyGyro_std_Z",-0.460843186407692
"LAYING",20,"tBodyGyroJerk_mean_X",-0.0945547052108333
"LAYING",20,"tBodyGyroJerk_mean_Y",-0.0402012429820513
"LAYING",20,"tBodyGyroJerk_mean_Z",-0.0525724570615385
"LAYING",20,"tBodyGyroJerk_std_X",-0.653186069490385
"LAYING",20,"tBodyGyroJerk_std_Y",-0.643573137512821
"LAYING",20,"tBodyGyroJerk_std_Z",-0.536900063648718
"LAYING",20,"tBodyAccMag_mean",-0.452429326099846
"LAYING",20,"tBodyAccMag_std",-0.519017420878205
"LAYING",20,"tGravityAccMag_mean",-0.452429326099846
"LAYING",20,"tGravityAccMag_std",-0.519017420878205
"LAYING",20,"tBodyAccJerkMag_mean",-0.564555998864103
"LAYING",20,"tBodyAccJerkMag_std",-0.540847617073269
"LAYING",20,"tBodyGyroMag_mean",-0.435122258175641
"LAYING",20,"tBodyGyroMag_std",-0.521471397919231
"LAYING",20,"tBodyGyroJerkMag_mean",-0.624627827903846
"LAYING",20,"tBodyGyroJerkMag_std",-0.65307636871282
"LAYING",20,"fBodyAcc_mean_X",-0.57063792171218
